month,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Avg
Jan,7.112,0.514958904,10.403078,4.595876,0.574802,7.028942,0,0.269221813,2.837084726,2.421582763,1.272212061,9.490235591,21.49798637,3.2859084135,10.9460771165,19.446830573,9.092080764,6.47106227105263,0.269191067,2.6956172005,15.6591,6.01123738167763
Feb,20.447,6.725780821,8.469122,3.359658,5.569458,1.578102,0.254,0,9.750684483,11.364864446,12.500913322,6.6107009905,7.2040634195,16.2880229725,12.4712306075,6.614883189,16.6355507765,2.6833230565,7.05659313949999,7.70346795499999,,8.164370958925
Mar,5.842,45.17401597675,2.014982,33.4659732,22.341332,37.305234,13.462,6.604,17.738516973,8.121724547,0.447858515,15.0600524878333,25.9048481993333,4.59082439960526,44.1465999438833,29.1741194520773,23.8455017301579,45.57304690285,29.0988021963947,23.1062980216962,,21.6508865272791
Apr,6.858,64.4011394223666,27.641296,46.641004,8.545703,19.518884,16.7005,68.8261112176667,94.3569719675001,26.27598188625,12.535503213625,70.2327511156667,4.2437230085,56.4137264131347,59.3442189444065,56.9208927286414,16.1222127107924,32.3887923229,21.0719102278571,47.5310319005,,37.8285177039904
May,42.164,54.5334613333334,33.173924,36.8980847,25.6692146,29.427424,41.3085333333333,43.4002289673667,78.568121202,119.104273255125,45.3212821719643,47.2993993965714,82.396948566887,153.007618871054,46.3075522785764,111.280551450368,95.3732628435953,66.0588362036333,47.1611080730846,68.1784864779999,,63.3316155862446
Jun,33.147,43.2420183333333,54.738016,103.732194533333,5.53379216666666,11.119866,49.7613333333334,83.0490166126,51.332214717625,34.82016455825,15.438975357625,16.9206919843444,51.9551654497908,51.2797509709094,37.6405068016766,4.33387502718129,32.715078756742,43.6842445045238,43.2365913783886,20.6502,,39.4165348243162
Jul,8.5725,4.201922,28.0972768,6.2783085,28.3176726,61.550296,9.0384,50.9359920378333,75.22187837575,94.3331398352619,91.0385161910834,43.3676726057945,101.187448970206,56.8882676109612,11.9139876411608,31.6169988334,40.9601692270612,21.0140835934286,3.21433076068254,17.3736,,39.2561230791312
Aug,16.4465,44.027344,34.6297377,14.2662275,10.4539415,37.062664,105.461257479714,30.6194246901667,36.56541888775,4.83974740709524,0.222777777777778,39.5098157414762,23.5310465254348,19.8157508825586,22.91856914215,53.8914014201631,8.49759473906471,17.4076802113809,11.2926987873809,8.6233,,27.0041449196057
Sep,22.5213333333333,10.9350386666667,53.4235152,2.697226,16.2639629,23.8967856666667,37.1752049814286,12.2479448805714,1.521395722375,16.6839880897143,39.7491676998889,110.922350931111,30.6513162932934,1.72137143375819,7.58664773248158,34.9041152534189,5.04635986808158,24.7421876907452,13.0713386405,11.4427,,23.8601975492017
Oct,10.6256666666667,0.90043,24.105108,73.9729026000001,20.389088,0,12.1189953468571,131.922438618,17.829262329125,55.9552731878572,21.0323595567222,20.7727175301667,11.9799415113137,53.9505830561171,9.7828534525,26.2652090637857,15.6317426202,14.6460982989286,15.4909066344999,6.8326,,27.210208823637
Nov,9.525,6.144006,7.720838,6.337173,9.402064,2.54,1.505804076,9.973951679,23.936938691,10.1350943985,4.267455614,4.826,15.6497050225,22.8358528535,4.4655137205,9.0211887895,10.2433192885,20.17541701345,7.94181945999999,9.8298,,9.8238470803225
Dec,0,8.291068,0.134874,1.45542,28.0416,6.604,6.361516792,17.705762906,8.3569254655,12.35333041,3.211657052,9.3612759175,10.281586142,21.817571819,8.063589397,4.3565763765,0.6402777515,20.9297026916999,10.7405031075,7.6327,,9.31699689140999
